sim_id,method,hyp_id,dist_1,dist_2,prior_id,theta,prior_dist,param1,param2,lim_inf,lim_sup
S00,Seleccion,0,gamma,normal,0,theta_0,halfnormal,5,,,
S00,Seleccion,0,gamma,normal,0,theta_1,halfnormal,5,,,
S00,Seleccion,0,gamma,normal,0,theta_2,flat,,,,
S00,Seleccion,0,gamma,normal,0,theta_3,halfnormal,1,,,
S10,Seleccion,1,gamma,gamma,0,theta_0,halfnormal,5,,,
S10,Seleccion,1,gamma,gamma,0,theta_1,halfnormal,5,,,
S10,Seleccion,1,gamma,gamma,0,theta_2,halfnormal,5,,,
S10,Seleccion,1,gamma,gamma,0,theta_3,halfnormal,5,,,
S20,Seleccion,2,normal,gamma,0,theta_0,flat,,,,
S20,Seleccion,2,normal,gamma,0,theta_1,halfnormal,1,,,
S20,Seleccion,2,normal,gamma,0,theta_2,halfnormal,5,,,
S20,Seleccion,2,normal,gamma,0,theta_3,halfnormal,5,,,
S30,Seleccion,3,normal,normal,0,theta_0,flat,,,,
S30,Seleccion,3,normal,normal,0,theta_1,halfnormal,1,,,
S30,Seleccion,3,normal,normal,0,theta_2,flat,,,,
S30,Seleccion,3,normal,normal,0,theta_3,halfnormal,1,,,
M00,Mezcla,0,normal,normal,0,theta_0,halfnormal,5,,,
M00,Mezcla,0,normal,normal,0,theta_1,halfnormal,5,,,
M00,Mezcla,0,normal,normal,0,theta_2,const,5,,,
M00,Mezcla,0,normal,normal,0,theta_3,const,1.5,,,
